experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-3.1600000000000006,7.470903559811222,-1.0,0.0,7,12.062126778273615,8.48948766645529
tiger,0.9,2,5,250,0,1,-1.0,0.0,2.78,5.326499788791885,7,12.102777448610588,8.575278883309338
tiger,0.9,2,5,250,0,2,3.26,4.803373814310104,-1.6,7.445804187594514,7,16.145505725609457,8.598979445820827
tiger,0.9,2,5,250,0,3,-3.1,7.475961476626268,-1.0,0.0,7,12.119743872794045,8.510294940360335
tiger,0.9,2,5,250,0,4,-1.0,0.0,2.9,5.204805471869242,8,12.184956720355316,9.383622699289216
tiger,0.9,2,5,250,0,5,-1.0,0.0,-2.8600000000000003,7.491355017618642,7,13.057491250143997,8.874509664474616
tiger,0.9,2,5,250,0,6,4.76,1.8821264569629745,-1.8400000000000003,7.470903559811223,8,14.78373493141467,9.12212426995992
tiger,0.9,2,5,250,0,7,-2.98,7.484624239065044,-2.1399999999999997,7.491355017618642,7,12.083286782948742,8.526723456386256
tiger,0.9,2,5,250,0,8,-1.0,0.0,-2.8600000000000003,7.491355017618642,7,12.058282619137044,8.499539422191699
tiger,0.9,2,5,250,0,9,-1.0,0.0,-2.56,7.499759996159876,8,12.033902827900283,8.729379271624257
tiger,0.9,2,5,250,0,10,-1.8399999999999994,7.470903559811222,-1.0,0.0,7,12.274933364971645,8.501759767558017
tiger,0.9,2,5,250,0,11,-1.7199999999999993,7.459329728601626,2.12,5.908096140043763,9,12.054247246296882,9.500977309630386
tiger,0.9,2,5,250,0,12,-1.0,0.0,-3.1,7.475961476626268,8,12.082250667984404,8.663138628245296
tiger,0.9,2,5,250,0,13,2.24,5.81226289838992,-1.0,0.0,7,16.741093990744055,8.516485995766125
tiger,0.9,2,5,250,0,14,-1.5400000000000005,7.438306258819948,2.72,5.385313361356051,8,12.692323352040352,9.089434351699731
tiger,0.9,2,5,250,0,15,-1.6600000000000001,7.452811550012519,-2.9200000000000004,7.488230765674893,7,13.069059162645527,8.536197152442618
tiger,0.9,2,5,250,0,16,-1.0,0.0,-1.0,0.0,7,12.162568173798267,8.502205691214527
tiger,0.9,2,5,250,0,17,1.7599999999999998,6.172714151813609,-1.0,0.0,7,12.06343538006794,8.910133308825634
tiger,0.9,2,5,250,0,18,-1.0,0.0,-1.0,0.0,7,12.009200604083457,8.498759367348917
tiger,0.9,2,5,250,0,19,-1.0,0.0,4.279999999999999,3.2064934118129726,7,12.6218040623312,8.609550197309504
tiger,0.9,2,5,250,0,20,4.88,1.3362634470792052,-1.0,0.0,7,16.156220045883792,8.489419781375727
tiger,0.9,2,5,250,0,21,-1.4800000000000004,7.430316278598105,3.5,4.5,8,12.082250667984404,8.563942707678988
tiger,0.9,2,5,250,0,22,-1.0,0.0,-1.0,0.0,8,12.093502855986685,8.647340007089035
tiger,0.9,2,5,250,0,23,2.96,5.141828468550853,2.24,5.81226289838992,7,17.753100050264237,8.627153315610983
tiger,0.9,2,5,250,0,24,-2.68,7.497839688870388,-1.0,0.0,7,12.541972646523842,8.607374939357978
tiger,0.9,2,5,250,0,25,-1.0,0.0,2.8999999999999995,5.204805471869242,10,12.265008106444062,9.299792766327903
tiger,0.9,2,5,250,0,26,3.38,4.655706176295922,-2.9800000000000004,7.484624239065044,7,12.693905927777138,8.767436933966533
tiger,0.9,2,5,250,0,27,-1.0,0.0,-1.0,0.0,7,12.065580981905558,8.539268598455173
tiger,0.9,2,5,250,0,28,3.08,5.011347124277064,2.96,5.141828468550853,8,16.732112778402406,9.7061649639746
tiger,0.9,2,5,250,0,29,-1.0,0.0,-3.7000000000000006,7.40337760755184,7,12.09459004397311,8.527972645224263
tiger,0.9,2,5,250,0,30,1.9400000000000004,6.044534721548053,-1.0,0.0,7,15.968750772086864,8.510828280944331
tiger,0.9,2,5,250,0,31,-1.0,0.0,2.540000000000001,5.5541335958005185,9,12.116750236501048,9.335997759119904
tiger,0.9,2,5,250,0,32,3.4400000000000004,4.578908166801339,-2.8600000000000003,7.491355017618642,7,17.00282753311688,8.533399580760705
tiger,0.9,2,5,250,0,33,-2.8600000000000003,7.491355017618642,-1.7200000000000002,7.459329728601626,7,12.037527230876613,8.846046479350244
tiger,0.9,2,5,250,0,34,-1.0,0.0,-1.0,0.0,7,12.032473832939125,8.502052346240006
tiger,0.9,2,5,250,0,35,2.5399999999999996,5.5541335958005185,3.5,4.5,9,15.94324204685822,9.488181131504437
tiger,0.9,2,5,250,0,36,-1.0,0.0,-1.0,0.0,7,12.317026199011757,8.485340774049487
tiger,0.9,2,5,250,0,37,-1.0,0.0,1.6399999999999997,6.253830825981784,9,12.80290366676023,9.205252724760356
tiger,0.9,2,5,250,0,38,4.819999999999999,1.6332789106579442,-1.0,0.0,7,16.616872478098266,8.49623981882975
tiger,0.9,2,5,250,0,39,-2.44,7.499759996159876,2.78,5.326499788791885,8,15.042183156415119,8.76987729272859
tiger,0.9,2,5,250,0,40,-1.0,0.0,-1.0,0.0,7,13.16693324882539,8.487038890198708
tiger,0.9,2,5,250,0,41,2.3600000000000003,5.712302512997714,2.24,5.81226289838992,8,12.604797534295596,9.340272953821941
tiger,0.9,2,5,250,0,42,-2.5,7.5,-4.0600000000000005,7.335966194033339,7,12.127692751696378,8.529657898217826
tiger,0.9,2,5,250,0,43,-2.1999999999999997,7.493997598078078,-1.0,0.0,7,12.733660882470286,8.517514037373584
tiger,0.9,2,5,250,0,44,-2.38,7.4990399385521345,-7.48,5.607994293863003,7,12.125643452513643,8.655525040479404
tiger,0.9,2,5,250,0,45,-1.0,0.0,-1.42,7.421832657773955,7,12.302897850942948,8.512509345904533
tiger,0.9,2,5,250,0,46,2.72,5.385313361356051,-2.8000000000000003,7.493997598078078,7,17.04341658551055,8.569890365361662
tiger,0.9,2,5,250,0,47,-3.16,7.470903559811223,-1.9000000000000004,7.475961476626268,7,12.166188080796385,8.513826224233703
tiger,0.9,2,5,250,0,48,-1.0,0.0,-2.5,7.5,7,13.067541100618957,8.984331597353517
tiger,0.9,2,5,250,0,49,3.2,4.874423042781576,-1.0,0.0,7,17.264427505821445,8.58700767557278
tiger,0.9,2,5,250,1,0,-1.0,0.0,5.0,0.0,8,12.03529373601117,9.27854761168276
tiger,0.9,2,5,250,1,1,3.1399999999999997,4.943723293227484,-2.62,7.4990399385521345,7,12.680408805081697,8.65886959001055
tiger,0.9,2,5,250,1,2,-1.0,0.0,-1.0,0.0,7,13.075232330814938,8.4869029678843
tiger,0.9,2,5,250,1,3,2.3600000000000003,5.712302512997714,3.5,4.5,7,12.058223569890519,8.789749674129155
tiger,0.9,2,5,250,1,4,-3.04,7.480534740244176,-1.7200000000000002,7.459329728601626,7,13.256969188999786,8.875905463734831
