experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,0,0,-3.22,7.4653600047151105,-2.62,7.4990399385521345,7,12.036317992075698,8.497138696151053
tiger,0.9,2,5,250,0,1,-1.0,0.0,-1.0,0.0,7,12.362119806529765,8.573579853021496
tiger,0.9,2,5,250,0,2,2.0599999999999996,5.954527689078287,-1.0,0.0,7,17.224979905428196,8.571039799385606
tiger,0.9,2,5,250,0,3,-1.0,0.0,4.579999999999999,2.4745908752761534,9,12.160509405731148,9.614016233407222
tiger,0.9,2,5,250,0,4,2.54,5.554133595800518,-1.0,0.0,7,12.960892519845457,8.492146097861081
tiger,0.9,2,5,250,0,5,-1.0,0.0,3.08,5.011347124277064,8,13.729101755071056,8.803322981977114
tiger,0.9,2,5,250,0,6,2.6599999999999997,5.442830146164769,-3.2200000000000006,7.4653600047151105,7,15.930658660781027,8.529466104072196
tiger,0.9,2,5,250,0,7,-1.0,0.0,-1.0,0.0,7,12.592936127687466,8.527408370274504
tiger,0.9,2,5,250,0,8,3.4400000000000004,4.578908166801339,-1.0,0.0,7,17.790167905505545,8.5399079139346
tiger,0.9,2,5,250,0,9,-1.0,0.0,4.279999999999999,3.2064934118129726,7,12.110596033442157,8.874951805405804
tiger,0.9,2,5,250,0,10,3.2,4.874423042781576,-1.0,0.0,7,15.04038829646128,8.55791406271607
tiger,0.9,2,5,250,0,11,-1.0,0.0,2.96,5.141828468550853,8,12.411889568070627,9.348465458270597
tiger,0.9,2,5,250,0,12,2.6,5.499090833947008,-3.4600000000000004,7.438306258819948,7,12.886179817429126,8.602706459578021
tiger,0.9,2,5,250,0,13,-1.0,0.0,-2.1999999999999997,7.493997598078078,7,12.23884599530972,8.517364213514142
tiger,0.9,2,5,250,0,14,1.2799999999999998,6.477777396607574,-1.6600000000000001,7.452811550012519,7,15.60529352181215,8.61036554119788
tiger,0.9,2,5,250,0,15,-1.0,0.0,-1.0,0.0,7,12.096218372278624,8.603711356329168
tiger,0.9,2,5,250,0,16,2.3600000000000003,5.712302512997714,-1.0,0.0,7,15.63265981844257,8.511006690235916
tiger,0.9,2,5,250,0,17,-1.0,0.0,-1.0,0.0,7,12.097221923345694,8.511897237847066
tiger,0.9,2,5,250,0,18,3.08,5.011347124277064,-1.0,0.0,7,14.252262751690578,8.622983975729294
tiger,0.9,2,5,250,0,19,-2.74,7.496159016456361,-3.94,7.360461942025107,7,12.048889984243004,8.570614286174433
